name,deltaG,SMILES
pubchem_2043,-10.73,COc1ccc(NCc2nc(-c3ccc(C(C)(C)C)cc3)n[nH]2)cc1
pubchem_1264,-10.72,Cc1nc(-c2ccccc2)n(CC(=O)Nc2cccc(Oc3ccccc3)c2)n1
pubchem_2019,-10.72,Cc1ccc(OCc2nc(SCC(=O)Nc3ccccc3C(C)C)n[nH]2)cc1
pubchem_32,-10.71,Cc1ccc(C(C)C)c(OCC(=O)NCc2nncn2-c2ccccc2)c1
pubchem_1185,-10.71,COc1ccc(NC(=O)N2CCC(Cc3nc(-c4ccccc4)n[nH]3)CC2)cc1
pubchem_1260,-10.71,O=C(Cn1c(=O)oc2ccccc21)Nc1ccc(-c2n[nH]c(C3CC3)n2)cc1
pubchem_171,-10.7,Cc1cccc(OCCCCC(=O)Nc2cccc(-c3n[nH]c(C)n3)c2)c1
pubchem_278,-10.7,Cc1cccc(OCCNC(=O)CSc2nnc(C)n2-c2ccccc2C)c1
pubchem_537,-10.7,Cc1ccc(OCc2nc(SCC(=O)Nc3cc(C)ccc3C)n[nH]2)cc1
pubchem_851,-10.7,O=C(CCCOc1ccccc1)Nc1cccc(-c2n[nH]c(C3CC3)n2)c1
pubchem_12,-10.69,COc1ccc(C)cc1NC(=O)CSc1nnc(C)n1C1CCCCC1
pubchem_750,-10.69,Cc1cccc(OCCNC(=O)CSc2nnc(C)n2-c2cccc(C)c2)c1
pubchem_1830,-10.69,CCc1n[nH]c(CC2CCN(C(=O)Cn3c(=O)oc4ccccc43)CC2)n1
pubchem_254,-10.68,Cc1cccc(NC(=O)CSc2n[nH]c(COc3ccccc3C)n2)c1
pubchem_521,-10.68,C=CCn1c(COc2cccc(C)c2)nnc1SCC(=O)Nc1ccccc1
pubchem_1261,-10.68,Cc1ccc(C)c(OCC(=O)Nc2cccc(-c3n[nH]c(C4CC4)n3)c2)c1
pubchem_1603,-10.67,CCn1cnnc1-c1cccc(NC(=O)CCOc2ccccc2C)c1
pubchem_251,-10.66,COc1ccc(C)cc1NC(=O)CSc1nnc(C)n1Cc1ccccc1
pubchem_271,-10.66,Cc1ccccc1NC(=O)CSc1n[nH]c(COc2ccc(C(C)C)cc2)n1
pubchem_1549,-10.66,O=C(CSc1n[nH]c(COc2ccccc2)n1)N1CCCc2ccccc21
pubchem_1712,-10.66,Cc1ccc(OCCCCNC(=O)c2nc(C)n(-c3ccccc3Cl)n2)cc1
pubchem_2111,-10.66,COc1ccccc1CNC(=O)CCCCc1nnc(C)n1-c1ccccc1
pubchem_401,-10.65,COc1ccccc1NCC(=O)N/N=C(\C)c1cccc(-n2cnnn2)c1
pubchem_1242,-10.65,CCOc1ccccc1NC(=O)NCc1nnnn1C1CCCCC1
pubchem_1925,-10.64,C=CCn1c(COc2ccccc2C)nnc1SCC(=O)Nc1ccccc1
pubchem_2117,-10.64,Cc1nc(-c2ccccc2NC(=O)Cn2nnc(COc3ccccc3)n2)n[nH]1
pubchem_767,-10.63,Cc1nnc(SCC(=O)Nc2ccccc2OC(C)C)n1Cc1ccccc1
pubchem_172,-10.62,Cc1ccccc1OCCN(C)C(=O)c1nc(C)n(-c2ccccc2Cl)n1
pubchem_593,-10.62,CC(=O)Nc1cccc(OCc2noc(C(=O)NCCc3ccccc3)n2)c1
pubchem_1670,-10.62,COc1ccccc1CN(C)C(=O)C(=O)Nc1cccc(-c2n[nH]c(C)n2)c1
pubchem_468,-10.61,Cc1cccc(OCc2nc(SCC(=O)Nc3ccccc3C(C)C)n[nH]2)c1
pubchem_475,-10.61,Cc1ccc(-n2nnnc2CNC(=O)COc2ccccc2)cc1C
pubchem_265,-10.6,CCn1c(CC2CCCCC2)nnc1SCC(=O)Nc1ccccc1OC
pubchem_307,-10.6,COc1ccccc1NC(=O)CSc1nnc(C2CC2)n1Cc1ccccc1
pubchem_639,-10.6,COc1ccccc1NC(=O)C1CCN(Cc2nc(-c3ccccc3)no2)CC1
pubchem_999,-10.6,O=C(CSc1n[nH]c(COc2ccccc2F)n1)N1CCCc2ccccc21
pubchem_1759,-10.6,O=C(COc1ccccc1-n1cnnc1)Nc1n[nH]c(Cc2ccc(F)cc2)n1
pubchem_396,-10.59,CCc1ccc(NC(=O)CSc2nnc(COc3ccccc3)n2CC)cc1
pubchem_1203,-10.59,Cc1cccc(NC(=O)CSc2nnc(COc3ccccc3)n2C)c1
pubchem_1569,-10.59,COc1ccccc1-c1nc(NC(=O)Cn2c(=O)cnc3ccccc32)n[nH]1
pubchem_37,-10.58,COc1ccccc1NC(=O)Cc1noc(CN2CCc3ccccc32)n1
pubchem_140,-10.58,Cc1ccc(OCc2nc(SCC(=O)Nc3cccc(C)c3C)n[nH]2)cc1
pubchem_270,-10.57,CCc1ccc(OCc2nc(SCC(=O)Nc3cccc(C)c3C)n[nH]2)cc1
pubchem_673,-10.57,Cc1ccc(OCc2nc(SCC(=O)N3CCc4ccccc43)n[nH]2)cc1
pubchem_804,-10.57,CCc1ccccc1NC(=O)CSc1nnc(COc2ccccc2)n1C
pubchem_426,-10.56,COc1ccccc1-c1nc(NC(=O)Cn2c(=O)n(C)c3ccccc32)n[nH]1
pubchem_773,-10.56,Cc1ccc(C(C)C)cc1OCC(=O)NCc1nncn1-c1ccccc1
pubchem_1648,-10.56,CCOc1ccccc1N1CCN(Cc2nc(-c3ccc(CC)cc3)no2)CC1
pubchem_1690,-10.56,Cc1cccc(-c2noc(CNc3ccccc3OC(C)C)n2)c1
pubchem_393,-10.55,CCc1ccc(NC(=O)CSc2nnc(COc3ccccc3)n2C)cc1
pubchem_407,-10.55,CCOc1ccc(-n2nnnc2CNC(=O)NCCc2ccccc2)cc1
pubchem_618,-10.55,Cc1ccccc1NC(=O)CSc1nnc(COc2ccccc2)n1C
pubchem_634,-10.55,CCc1ccc(NC(=O)CSc2n[nH]c(COc3c(C)cccc3C)n2)cc1
pubchem_1490,-10.55,O=C(COc1ccccc1)Nc1ccc(-c2nnc3n2CCCC3)cc1
pubchem_1757,-10.55,Cc1cccc(N(CCCOc2cccc(CN(C)C)c2)Cc2ncn[nH]2)c1
pubchem_1968,-10.55,COc1ccccc1C(C)(C)NC(=O)c1nc(C2CC2)n(-c2ccccc2)n1
pubchem_139,-10.54,C=CCn1c(Cc2ccccc2)nnc1SCC(=O)Nc1ccccc1OC
pubchem_455,-10.54,Cc1ccccc1OCc1nc(SCC(=O)N(C)c2ccccc2)n[nH]1
pubchem_794,-10.54,CCc1ccc(OCC(=O)Nc2ccc(-c3n[nH]c(C4CC4)n3)cc2)cc1
pubchem_885,-10.54,Cc1nc(-c2ccccc2NC(=O)CCCn2c(=O)oc3ccccc32)n[nH]1
pubchem_1219,-10.54,COc1ccc(N2CCN(Cc3nc(-c4ccccc4)n[nH]3)CC2)cc1
pubchem_1471,-10.54,Cc1nc(CN2CCN(C(=O)Nc3ccccc3OC3CCCC3)CC2)n[nH]1
pubchem_1506,-10.54,O=C1COc2ccc(Cc3nc(CCc4ccccc4)n[nH]3)cc2N1
pubchem_1748,-10.54,CC(=O)NCCc1nc(COc2ccccc2)nn1-c1cccc(C)c1
pubchem_26,-10.53,CCOc1ccc(OCC(=O)NCc2nnnn2-c2ccc(C)cc2)cc1
pubchem_463,-10.53,COc1ccccc1NC(=O)CSc1nnc(CCC2CCCCC2)n1C
pubchem_1705,-10.53,CCOc1ccccc1NC(=O)CNc1cccc(-c2nnnn2C2CC2)c1
pubchem_1827,-10.53,COc1ccc(CCCCCC(=O)Nc2ccc(-c3n[nH]c(CN)n3)cc2)cc1
pubchem_1966,-10.53,Cc1nc(-c2cccc(NC(=O)NCCOc3c(C)cccc3C)c2)n[nH]1
